Dataset,Paper Title,Year,Publisher,Description,Indoor/Outdoor,Tasks,No. Papers,No. Benchmarks,Last Check
12 Scenes,Learning to Navigate the Energy Landscape,2016,3DV,The dataset contains RGB-D data of 4 large scenes comprising a total of 12 rooms,indoor,RGB Relocalization; Hand Pose Estimation; Image Retrieval,38,0,2025-02-27
2D-3D-S,Joint 2D-3D-Semantic Data for Indoor Scene Understanding,2017,arXiv,"The 2D-3D-S dataset provides a variety of mutually registered modalities from 2D; 2.5D and 3D domains, with instance-level semantic and geometric annotations",indoor,Semantic Segmentation; Depth Estimation; Self-Supervised Learning; Visual Navigation…,142,8,2025-02-27
3D60 / 360D,OmniDepth: Dense Depth Estimation for Indoors Spherical Panoramas,2018,ECCV,High quality 360o dataset with ground truth depth annotations,indoor,Depth Estimation; Monocular Depth Estimation,17,0,2025-02-27
3D AffordanceNet,3D AffordanceNet: A Benchmark for Visual Object Affordance Understanding,2021,CVPR,3D AffordanceNet is a dataset of 23k shapes for visual affordance (= the ability to understand the ways to interact with objects from visual cues),other,Affordance Detection,12,1,2025-02-27
3DCSR,A comprehensive survey on point cloud registration,2021,arXiv,Cross-source point cloud dataset for registration task,other,Point Cloud Registration,8,0,2025-02-27
3D-FRONT,3D-FRONT: 3D Furnished Rooms with layOuts and semaNTics,2021,ICCV,"large-scale, and comprehensive repository of synthetic indoor scenes highlighted by professionally designed layouts and a large number of rooms populated by high-quality textured 3D models with style compatibility",indoor,Interior Scene Synthesis; Texture Synthesis,7,0,2025-02-27
3D-FUTURE,3D-FUTURE: 3D Furniture shape with TextURE,2021,IJCV,3D dataset that contains photo-realistic synthetic images involving industrial 3D CAD shapes of furniture with high-resolution informative textures developed by professional designers,indoor,Semantic Segmentation; Instance Segmentation; Texture Synthesis,42,0,2025-02-27
3DMatch,3DMatch: Learning Local Geometric Descriptors from RGB-D Reconstructions,2017,CVPR,The dataset contains 2D RGB-D patches and 3D patches (local TDF voxel grid volumes) of wide-baselined correspondences,indoor,Point Cloud Registration; Low-Light Image Enhancement; 3D Feature Matching,170,3,2025-02-27
3D MM-Vet,ShapeLLM: Universal 3D Object Understanding for Embodied Interaction,2024,ECCV,The 3D MM-Vet benchmark comprises 59 diverse Internet8 3D objects and 232 human-written question-answer pairs,other,3D Question Answering (3D-QA),4,1,2025-02-27
3DNet,3DNet: Large-Scale Object Class Recognition from CAD Models,2012,ICRA,free resource for object class recognition and 6DOF pose estimation from point cloud data; 3DNet provides a large-scale hierarchical CAD-model databases with increasing numbers of classes and difficulty with 10; 60 and 200 object classes together with evaluation datasets that contain thousands of scenes captured with an RGB-D sensor.,other,Object class recognition and 6DOF pose estimation from point cloud data,4,0,2025-02-27
3DPW ,Recovering Accurate 3D Human Pose in The Wild Using IMUs and a Moving Camera,2018,ECCV,dataset in the wild with accurate 3D poses for evaluation,outdoor,Pose Estimation; 3D Human Pose Estimation; Hand Pose Estimation; Human Pose Forecasting; Cross-Domain 3D Human Pose Estimation,383,5,2025-02-27
3DSSG,Learning 3D Semantic Scene Graphs from 3D Indoor Reconstructions,2020,CVPR,3DSSG provides 3D semantic scene graphs for 3RScan.,indoor,3D Scene Graph Generation; 3D Scene Graph Alignment,32,2,2025-02-27
3RScan,RIO: 3D Object Instance Re-Localization in Changing Indoor Environments,2019,ICCV,A novel dataset and benchmark featuring 1482 RGB-D scans of 478 environments across multiple time steps,indoor,3D Semantic Segmentation; Scene Understanding; Point Cloud Registration; Scene Graph Generation; 3D Object Classification; Scene Change Detection; Predicate Classification,40,5,2025-02-27
4D-OR,4D-OR: Semantic Scene Graphs for OR Domain Modeling,2022,MICCAI,4D surgical Semantic Scene Graphs (SSG) dataset,indoor,medical application; 3D Object Detection; 3D Human Pose Estimation; Scene Graph Generation,8,1,2025-02-27
4DMatch,Lepard: Learning partial point cloud matching in rigid and deformable scenes,2022,CVPR,benchmark for matching and registration of partial point clouds with time-varying geometry,other,Point Cloud Registration; 3D Feature Matching; Partial Point Cloud Matching; 3D Point Cloud Matching,10,1,2025-02-27
7-Scenes,/,2013,Microsoft,The 7-Scenes dataset is a collection of tracked RGB-D camera frames,indoor,Dense Tracking; Mapping; Relocalization; 3D Scene Reconstruction,6,0,2025-02-27
A Large Dataset of Object Scans,A Large Dataset of Object Scans,2016,arXiv,dataset of more than ten thousand 3D scans of real objects,other,Scene Understanding; 3D Reconstruction; Object Reconstruction,6,0,2025-02-27
A*3D,A*3D Dataset: Towards Autonomous Driving in Challenging Environments,2020,ICRA,The A*3D dataset is a step forward to make autonomous driving safer for pedestrians and the public in the real world,outdoor,(3D) Object Detection; Autonomous Driving,37,0,2025-02-27
Aachen Day-Night,Benchmarking 6DOF Outdoor Visual Localization in Changing Conditions,2018,CVPR,Dataset for benchmarking 6DOF outdoor visual localization in changing conditions,outdoor,Pose Estimation; Camera Localization; Visual Localization,89,1,2025-02-27
ABC Dataset,ABC: A Big CAD Model Dataset For Geometric Deep Learning,2019,CVPR,collection of one million Computer-Aided Design (CAD) models for research of geometric deep learning methods and applications,other,Object Detection; 3D Reconstruction; Single-View 3D Reconstruction; Physical Simulations; Region Proposal,96,0,2025-02-27
ABO ,ABO: Dataset and Benchmarks for Real-World 3D Object Understanding,2022,CVPR,large-scale dataset designed for material prediction and multi-view retrieval experiments,indoor,3D Reconstruction; Single-View 3D Reconstruction; Metric Learning,74,0,2025-02-27
AI2-THOR,AI2-THOR: An Interactive 3D Environment for Visual AI,2017,arXiv,interactive environment for embodied AI,indoor,Robotics; Visual Navigation; Imitation Learning,222,1,2025-02-27
aiMotive,aiMotive Dataset: A Multimodal Dataset for Robust Autonomous Driving with Long-Range Perception,2022,arXiv,multimodal dataset for robust autonomous driving with long-range perception,outdoor,3D Object Detection; Object Tracking,1,1,2025-02-27
AKB-48 ,AKB-48: A Real-World Articulated Object Knowledge Base,2022,CVPR,large-scale Articulated object Knowledge Base,other,Articulated Object Understanding,7,1,2025-02-27
