Dataset,Paper Title,Year,Publisher,Paper Link,Project Link,Description,Size & Content,Indoor/Outdoor,Real/Synthetic,Modalities,No. Classes,Tasks,No. Papers,No. Benchmarks,Column1,checked?
12 Scenes,Learning to Navigate the Energy Landscape,2016,3DV,https://arxiv.org/pdf/1603.05772v1,https//graphics.stanford.edu/projects/reloc/,The dataset contains RGB-D data of 4 large scenes comprising a total of 12 rooms,4 scenes; 12 Rooms,indoor,real,iPad RBG camera; Structure.io depth sensor,0,RGB Relocalization; Hand Pose Estimation; Image Retrieval,38,0,,c
2D-3D-S (Stanford 2D-3D - Semantics Dataset),Joint 2D-3D-Semantic Data for Indoor Scene Understanding,2017,arXiv,https://arxiv.org/pdf/1702.01105v2,http//buildingparser.stanford.edu/dataset.html,"The 2D-3D-S dataset provides a variety of mutually registered modalities from 2D; 2.5D and 3D domains, with instance-level semantic and geometric annotations",6000 m2; 6 indoor areas; 3 different buildings; over 70;000 RGB images + depths + surface normals; semantic annotations; global XYZ images; camera information; registered raw and semantically annotated 3D meshes and point clouds,indoor,real,Matterport Camera (3 Structured-Light sensors) for RGB-D,13,Semantic Segmentation; Depth Estimation; Self-Supervised Learning; Visual Navigation…,141,8,,c
3D60 / 360D,OmniDepth: Dense Depth Estimation for Indoors Spherical Panoramas,2018,ECCV,https://arxiv.org/pdf/1807.09620v1,https//vcl3d.hub.io/3D60/,High quality 360o dataset with ground truth depth annotations,94098 renders; 23524 unique viewpoints; depth annotations,indoor,synthetic,using 2 computer generated datasets (SunCG + SceneNet) and two realistic ones acquired by scanning indoor buildings (Stanford2D3D + Matterport3D),0,Depth Estimation; Monocular Depth Estimation,17,0,,c
3D AffordanceNet,3D AffordanceNet: A Benchmark for Visual Object Affordance Understanding,2021,CVPR,https://arxiv.org/pdf/2103.16397v2,https//andlollipopde.hub.io/3D-AffordanceNet/#/,3D AffordanceNet is a dataset of 23k shapes for visual affordance (= the ability to understand the ways to interact with objects from visual cues),56307 well-defined affordance information annotations for 22949 shapes covering 18 affordance classes and 23 semantic object categories,indoor,real,Raw 3D shape data are collected from the shapes in PartNet; 42 professional annotators for annotations,23,Affordance Detection,12,1,,c
3DCSR (3D cross-source point cloud registration dataset),A comprehensive survey on point cloud registration,2021,arXiv,https://arxiv.org/pdf/2103.02690v2,https//multimediauts.org/3D_data_for_registration/,Cross-source point cloud dataset for registration task,2 kinds of cross-source point cloud: (1) Kinect and Lidar; 19 scenes; 165 pairs of cross-source point clouds; (2) Kinect and 3D reconstruction (iPhone RGB camera): 2 scenes; 37 pairs of cross-source point clouds ,indoor,real,"Kinect, LiDAR; iPhone RGB camera",0,Point Cloud Registration,8,0,,c
3D-FRONT (3D Furnished Rooms with layOuts and semaNTics),3D-FRONT: 3D Furnished Rooms with layOuts and semaNTics,2021,ICCV,https://arxiv.org/pdf/2011.09127,https//tianchi.aliyun.com/specials/promotion/alibaba-3d-scene-dataset#,"large-scale, and comprehensive repository of synthetic indoor scenes highlighted by professionally designed layouts and a large number of rooms populated by high-quality textured 3D models with style compatibility",18968 rooms; 13151 furniture 3D objects with highquality textures,indoor,synthetic,built on about 60K professionally designed houses and 1M 3D CAD meshes,49,Interior Scene Synthesis; Texture Synthesis,7,0,,c
3D-FUTURE (3D FUrniture shape with TextURE),3D-FUTURE: 3D Furniture shape with TextURE,2021,IJCV,https://arxiv.org/pdf/2009.09633v1,https//tianchi.aliyun.com/specials/promotion/alibaba-3d-future,3D dataset that contains photo-realistic synthetic images involving industrial 3D CAD shapes of furniture with high-resolution informative textures developed by professional designers,20240 synthetic images; 5000 scenes; 9992 industrial 3D CAD shapes of furniture; high-resolution informative textures developed by professional designers; WordNet Taxonomy,indoor, synthethic,CAD models,34,Semantic Segmentation; Instance Segmentation; Texture Synthesis,42,0,,c
3DMatch,3DMatch: Learning Local Geometric Descriptors from RGB-D Reconstructions,2017,CVPR,https://arxiv.org/pdf/1603.08182v3,https//3dmatch.cs.princeton.edu,The dataset contains 2D RGB-D patches and 3D patches (local TDF voxel grid volumes) of wide-baselined correspondences,2D RGB-D patches and 3D patches (local TDF voxel grid volumes) of wide-baselined correspondences.; validation set: 10000 pairs of RGB-D patches and their ground truth correspondence labels; test dataset: similar data for another 10000 pairs; except the ground truth correspondence labels have been left out,indoor,real,datasets used: SUN3D; 7-Scenes; RGB-D Scenes-v2;  BundleFusion; Analysis by Synthesis ,0,Point Cloud Registration; Low-Light Image Enhancement; 3D Feature Matching,170,3,,c
3D MM-Vet,ShapeLLM: Universal 3D Object Understanding for Embodied Interaction,2024,ECCV,https://arxiv.org/pdf/2402.17766v3,https//hub.com/qizekun/ShapeLLM,The 3D MM-Vet benchmark comprises 59 diverse Internet8 3D objects and 232 human-written question-answer pairs,59 3D objects; 232 human-written question-answer pairs,other,other,sourced exclusively from Turbosquid,0,3D Question Answering (3D-QA),4,1,,c
3DNet,3DNet: Large-Scale Object Class Recognition from CAD Models,2012,ICRA,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6225116&casa_token=ge8wIzslq10AAAAA:mh2TH1OKHHMyIG9TK3jAIl2Qt7UJbqzKC6se666XVnMjVK8dHvXPbiOfMQEk_eWU3H3qDJLtaot2&tag=1,https//www.acin.tuwien.ac.at/en/vision-for-robotics/software-tools/3dnet-dataset/,free resource for object class recognition and 6DOF pose estimation from point cloud data; 3DNet provides a large-scale hierarchical CAD-model databases with increasing numbers of classes and difficulty with 10; 60 and 200 object classes together with evaluation datasets that contain thousands of scenes captured with an RGB-D sensor.,A) CatJO: Basic Object Classes -> 360 common; simple; geometrically distinguishable 3D CAD models (e.g. apple; banana...); 1600 scenes of single objects on a flat surface in multiple poses and multiple instances per class; B) Cat50: Super-Classes -> CatlO database + forty additional classes including sub-categories (e.g. chair; armchair); C) CatJOO: Color -> adds objects with similar shape but can be distinguished using color (e.g. lemon; lime); CAT200: Size ->   cosnidering the real world size of objects (e.g. planes; toy- planes); models linked to WordNet structure,other,synthetic,"constructed by semi-automatically downloading models from Google's 3D Warehouse and various smaller, free online repositories for CAD models",200,Object class recognition and 6DOF pose estimation from point cloud data,4,0,,c
