Property,Category,Definition,Relevance,Use Case
Origin,Data Acquisition,Who collected the data and for what purpose?,"Datasets from similar sources may share characteristics, making them useful for related applications.",Road scenes captured by an automotive company for autonomous cars may also be useful for traffic analysis.
Realism,Data Acquisition,"Is the data synthetic, real or hybrid?","In some domains, collecting real data is difficult or expensive, so synthetic data is used, which, however, lacks real-world diversity.","In medical context, especially for rare diseases, obtaining real data is challenging due to privacy concerns, ethical restrictions, and the limited number of cases."
Sensor Modality,Data Acquisition,"Which sensor types were used (e.g., LiDAR, stereo cameras, structured light)?",Different sensor modalities have strengths and limitations affecting the suitability for an application.,"In autonomous driving, LiDAR is ideal for depth perception, cameras excel at object detection, and radar is optimal for long-range detection in adverse weather."
Privacy,Data Handling,Does the dataset include private or sensitive information?,Data handling must comply with privacy regulations such as the European General Data Protection Regulation (GDPR).,Facial recognition data for surveillance must be handled with care to comply with privacy regulations.
Accessibility,Data Handling,How easy is it to access and use the dataset?,Datasets with accessible APIs and clear simplify the integration into an application.,"Objaverse (Deitke et al., 2023) provides a dedicated Python API for direct access."
Metadata,Data Handling,"Does the dataset provide metadata about its origin, collection parameters, and structure?",Metadata provides context about a dataset and helps to assess its quality and applicability.,"In robotics, metadata about sensor placement and calibration ensures accurate localization and mapping."
Fairness,Diversity,Is the data biased or misrepresentative?,Biased data or misrepresentative datasets could affect the model’s performance negatively.,"Racial, gender-based, or cultural biases may lead to unfair outcomes in applications like hiring algorithms or law enforcement tools."
Scene Diversity,Diversity,"Does the dataset include a variety of scenes (in-/outdoor, urban/rural, weather, lighting)?",Greater scene diversity improves generalization to new environments.,"In indoor mapping, an algorithm trained only on office spaces may struggle to identify other environments like bathrooms or kitchens."
Class diversity,Diversity,Does the dataset contain enough classes relevant to the target application?,"If certain classes are underrepresented or missing, the model may struggle to recognize them after training.","To understand an indoor scene, key object classes like chairs and tables must be well represented in the dataset."
Instance diversity,Diversity,Does the dataset contain enough different instances of the classes?,A higher variety of instances improves a model’s ability to generalize to unseen variations of the same class.,A segmentation algorithm trained only on one type of chair may struggle to recognize different chair designs.
Annotation Availability,Annotation,Is labeled data available?,"Labels are crucial for supervised learning tasks, such as segmentation and object detection.","For studies regarding accessibility of rooms, it is helpful if not only furniture but also open spaces are labeled."
Annotation Cost and Effort,Annotation,How much effort or cost is required to label the data?,"Manual labeling is time-consuming and expensive, but automation tools can improve efficiency.","In medical applications, expert annotations are often necessary, making dataset creation resource-intensive."
Annotation Type,Annotation,What kind of annotations are provided?,The annotation type must align with the task requirements.,"Point-wise labels enable robust segmentation, while bounding boxes are suited for object detection."
Annotation Quality,Annotation,How precise are the labels?,Poor annotation quality can limit model performance and lead to incorrect predictions.,"In medical applications, high-quality annotations are critical for segmenting organs or tumors correctly."
